Restaurant ID,Restaurant Name,City,Locality,Longitude,Latitude,Cuisines,Average Cost for two,Has Table booking,Has Online delivery,Price range,Aggregate rating,Votes
18377926,Ding Ding,New Delhi,Greater Kailash (GK) 1,77.23671846,28.54953822,Chinese,600,No,Yes,2,3.9,93
18377927,Night Food Service,Noida,Greater Noida,77.518042,28.46449,"Fast Food, North Indian, Chinese",350,No,No,1,3.8,80
18377936,Liquid,Kanpur,Ashok Nagar,80.31345762,26.47152862,"Finger Food, North Indian, Continental, Italian, Mediterranean",1000,No,No,3,4,24
18378014,Mera Vala Dabba,Noida,Sector 110,77.366061,28.539277,North Indian,400,No,Yes,1,3.6,18
18378019,Vrinda's Food,New Delhi,Shahdara,77.29011454,28.67656666,"North Indian, Chinese, South Indian, Bakery",600,No,No,2,2.9,6
18378024,Gulab,New Delhi,Krishna Nagar,77.2836334,28.6592567,"Mithai, North Indian",500,No,No,2,3.3,12
18378033,Sultan Food,New Delhi,Dilshad Garden,77.3225314,28.6818859,Mughlai,300,No,Yes,1,3.1,14
18378036,Fattoush,New Delhi,"V3S Mall, Laxmi Nagar",77.2862407,28.6368753,Lebanese,200,No,No,1,2.9,5
18378048,Moti Mahal Delux,Gurgaon,"DT Mega Mall, DLF Phase 1",77.093094,28.476268,North Indian,1000,Yes,Yes,3,3.6,29
18378050,Bromfy Public House,New Delhi,Pitampura,77.1348248,28.68867,"Continental, Italian, North Indian, Lebanese",1600,No,No,3,2.8,27
18378056,Firangi Island,New Delhi,Kirti Nagar,77.1519824,28.6575383,"North Indian, Chinese, Continental, Italian",1200,Yes,No,3,3.5,21
18378765,Fresh and Fit Ghar Ka Khana,Noida,Sector 50,77.3619772,28.5702807,"North Indian, Healthy Food, Rajasthani",400,No,No,1,3.1,10
18378803,#Dilliwaala6,Puducherry,White Town,79.83481014,11.9365319,North Indian,800,No,No,3,3.7,124
18378852,Effingut Brewerkz,Pune,Baner,73.7982064,18.554382,"Continental, North Indian, Mughlai, Burmese",2000,No,Yes,4,4.3,375
18379474,Kake Da Hotel,New Delhi,Paschim Vihar,77.1005772,28.6621865,North Indian,600,No,Yes,2,3.6,29
18380141,Hurry's Paratha,Noida,Sector 18,77.322687,28.570159,"Pizza, North Indian",200,No,Yes,1,3.5,47
18380143,Late Lateefe,New Delhi,Preet Vihar,77.2860621,28.6327398,"North Indian, Mughlai, Chinese",600,No,Yes,2,3.5,44
18380149,The Heroes Bistro & Bar,New Delhi,Greater Kailash (GK) 2,77.2429111,28.5339436,Continental,900,Yes,No,2,4,47
18380155,Circle Cafe and Bar,New Delhi,Kalkaji,77.2528632,28.5422688,"Cafe, North Indian, Lebanese, Continental",800,No,No,2,3.5,30
18380171,Pat 'N' Harry,New Delhi,"Unity One Mall, Janakpuri",77.075439,28.629097,American,400,No,Yes,1,2.3,42
18380175,Punjabi Angeethi,New Delhi,Shalimar Bagh,77.1616827,28.7033536,"North Indian, South Indian, Chinese",600,No,Yes,2,3.2,28
18380219,The Little Fork,New Delhi,Mukherjee Nagar,77.2162337,28.7135608,"Chinese, North Indian",700,No,Yes,2,3.1,5
18380262,BunkYard Cafe,Noida,Sector 62,77.3624828,28.6145003,"Fast Food, Beverages",400,No,No,1,3.5,33
18380639,Oriental Kitchen Express,Gurgaon,Sector 15,77.0367474,28.4577727,"Chinese, Thai",450,No,Yes,1,3.3,14
18380891,Sai Bajaj Restaurant,New Delhi,Vivek Vihar,77.31206504,28.66910046,"Chinese, North Indian",300,No,Yes,1,3.6,35
18381220,Healthy Food Station,New Delhi,Model Town 2,77.1916048,28.7082825,"Salad, Healthy Food, Burger, Italian, Continental, Chinese, North Indian, Beverages",400,No,Yes,1,3.1,25
18381223,Dosa X'press,Ghaziabad,"Shipra Mall, Indirapuram",77.36972786,28.63378764,South Indian,500,No,No,2,3,6
18381224,Singh Foods,Noida,Sector 110,77.36533742,28.53922405,"North Indian, Mughlai",700,No,Yes,2,3.2,7
18381226,The Grill Mill,Gurgaon,"Cyber Hub, DLF Cyber City",77.0884689,28.4940704,"North Indian, Continental, Asian",1500,Yes,No,3,4,209
18381230,Hungry Minister,Noida,Sector 41,77.3522612,28.5615785,"Continental, Mexican, Fast Food, Chinese",400,No,Yes,1,3.5,29
18381233,The Belgian Fries Company,Gurgaon,"MGF Metropolitan Mall, MG Road",77.0801674,28.4802478,"European, American, Street Food",400,No,Yes,1,3.7,31
18381235,Fat Lulu's,Gurgaon,Sohna Road,77.058018,28.434541,"Pizza, Italian",1250,No,Yes,3,3.7,21
18381237,Spice Tree,New Delhi,East of Kailash,77.24759415,28.55342536,"North Indian, Mughlai, Chinese",400,No,Yes,1,2.7,12
18381249,Breaktym,Noida,Sector 132,77.407635,28.508599,"North Indian, Mughlai",400,No,Yes,1,2.5,6
18381259,The Headquarter,New Delhi,Rajouri Garden,77.117922,28.647321,"Continental, Italian, Mediterranean, Asian",1200,Yes,Yes,3,4.1,153
18381262,Oh! Fudge,Gurgaon,DLF Phase 5,77.0957435,28.4486422,"Bakery, Desserts",300,No,Yes,1,3.8,93
18381626,4 Barrels Caf�� & Lounge,New Delhi,Tagore Garden,77.1099433,28.6490845,"North Indian, Continental, Lebanese",1200,Yes,Yes,3,3.5,24
18381639,Tak - a - Tak,New Delhi,Jail Road,77.0976322,28.6309971,North Indian,300,No,No,1,3.3,14
18381642,Phantom,Gurgaon,"MGF Metropolitan Mall, MG Road",77.0802349,28.4808594,"North Indian, Continental, Chinese",1500,Yes,No,3,3.5,55
18381646,Millionaire - Powered by Wrapss,New Delhi,Rajinder Nagar,77.1858395,28.6425402,"Burger, Fast Food",400,No,Yes,1,3.5,27
18381663,Khan Chacha,New Delhi,"Epicuria Food Mall, Nehru Place",77.2514264,28.551456,"North Indian, Mughlai",650,No,Yes,2,3.6,23
18381664,Om Sweets,Gurgaon,Sector 45,77.0591044,28.4349952,"Mithai, North Indian, South Indian, Chinese",300,No,Yes,1,3.2,50
18382055,Kuzo,Gurgaon,Sushant Lok,77.0790658,28.4507135,"North Indian, Fast Food",300,No,No,1,3.2,10
18382338,Rainbows,New Delhi,Lado Sarai,77.195496,28.523803,"Bakery, Fast Food",400,No,Yes,1,3.1,10
18382342,Noshi - Yum Asian Delivery,New Delhi,Greater Kailash (GK) 1,77.2366984,28.5495184,"Chinese, Thai, Japanese",1000,No,Yes,3,4.2,111
18382344,Culture Cafe,Gurgaon,"Cross Point Mall, DLF Phase 4",77.0837421,28.4681975,"Mediterranean, Continental",1500,Yes,Yes,3,4.2,144
18382353,DEL - Roseate House,New Delhi,"Roseate House, Aerocity",77.120533,28.550802,"Continental, American, North Indian",3000,Yes,No,4,3.6,30
18382362,Food Destination,Noida,Sector 72,77.3862918,28.57108,North Indian,400,No,No,1,3,5
18382363,Cafe Limelight,Noida,Sector 11,77.338766,28.6003782,"Cafe, North Indian, Italian",900,No,Yes,2,3.7,38
18382372,Fluffles - The Fluffy Waffle Co.,New Delhi,Greater Kailash (GK) 1,77.2334786,28.5499293,Desserts,300,No,Yes,1,3.5,27
18382564,Twomato Foods,Noida,Sector 65,77.380365,28.607233,North Indian,400,No,Yes,1,3.2,11
18382626,Konetto Pizza,Gurgaon,Sector 14,77.0462096,28.4783985,Pizza,150,No,No,1,3.5,32
18382697,Diet Dabba,New Delhi,GTB Nagar,77.2049891,28.6944315,"Healthy Food, Juices, Salad",250,No,Yes,1,3.7,37
18382755,Mohit di Hatti,New Delhi,Laxmi Nagar,77.2787671,28.6390651,Street Food,200,No,No,1,3.8,70
18383076,Mineority By Saby,Pune,Kalyani Nagar,73.90433729,18.54625752,"North Indian, North Eastern, Continental",1400,Yes,No,3,4.2,306
18383095,Teddy Boy,Pune,Baner,73.80485516,18.5514399,"North Indian, Continental, Finger Food",1200,Yes,No,3,3.6,507
18383434,Swiss Softy,New Delhi,"Pacific Mall, Tagore Garden",77.1060471,28.6421787,"Ice Cream, Beverages",250,No,No,1,3.9,31
18383447,Drifters Cafe,Gurgaon,DLF Phase 5,77.0951664,28.4477214,"Chinese, Thai, Asian",400,No,Yes,1,3.9,40
